61.0,118.0,80.0,137.0
551.0,278.0,571.0,298.0
365.0,11.0,396.0,33.0
250.0,276.0,270.0,300.0
124.0,308.0,144.0,326.0
156.0,198.0,174.0,222.0
361.0,87.0,383.0,111.0
538.0,158.0,554.0,180.0
237.0,42.0,254.0,56.0
363.0,155.0,380.0,179.0
614.0,97.0,632.0,122.0
124.0,47.0,144.0,71.0
394.0,307.0,411.0,326.0
474.0,200.0,490.0,214.0
464.0,256.0,482.0,277.0
678.0,196.0,695.0,215.0
63.0,215.0,81.0,237.0
349.0,216.0,363.0,238.0
267.0,182.0,286.0,199.0
174.0,103.0,191.0,128.0
283.0,104.0,302.0,126.0
535.0,39.0,554.0,57.0
